S1_D1_V1,0,1,1.75,c
S2_D1_V1,0,1,0.75,c
S3_D1_V1,0,8,56.0,c
S1_D1_V2,0,1,1.75,c
S3_D1_V2,0,8,56.0,c
S3_D1_V3,0,8,56.0,c
S3_D1_V4,0,8,56.0,c
S3_D1_V5,0,8,56.0,c
S3_D1_V6,0,8,56.0,c
S3_D1_V7,0,8,56.0,c
S3_D1_V8,0,8,56.0,c
S3_D1_V9,0,8,56.0,c
S3_D1_V10,0,8,56.0,c
S3_D1_V11,0,8,56.0,c
S3_D1_V12,0,8,56.0,c
S3_D1_V13,0,8,56.0,c
S3_D1_V14,0,8,56.0,c
S3_D1_V15,0,8,56.0,c
S3_D1_V16,0,8,56.0,c
S3_D1_V17,0,8,56.0,c
S3_D1_V18,0,8,56.0,c
S3_D1_V19,0,8,56.0,c
S3_D1_V20,0,8,56.0,c
S3_D1_V21,0,8,56.0,c
S3_D1_V22,0,8,56.0,c
S3_D1_V23,0,8,56.0,c
S3_D1_V24,0,4,28.0,c
S3_D1_V25,0,4,28.0,c
S3_D1_V26,0,4,28.0,c
S3_D1_V27,0,4,28.0,c
S3_D1_V28,0,4,28.0,c
S3_D1_V29,0,4,28.0,c
S3_D1_V30,0,4,28.0,c
S3_D1_V31,0,4,28.0,c
S3_D1_V32,0,8,56.0,c
S3_D1_V33,0,8,56.0,c
S3_D1_V34,0,8,56.0,c
S3_D1_V35,0,8,56.0,c
S3_D1_V36,0,8,56.0,c
S3_D1_V37,0,8,56.0,c
S3_D1_V38,0,8,56.0,c
S3_D1_V39,0,8,56.0,c
S3_D1_V40,0,8,56.0,c
S3_D1_V41,0,8,56.0,c
S3_D1_V42,0,8,56.0,c
S3_D1_V43,0,8,56.0,c
S3_D1_V44,0,8,56.0,c
S3_D1_V45,0,8,56.0,c
S3_D1_V46,0,8,56.0,c
S3_D1_V47,0,8,56.0,c
